Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
1,LKH,2 Instances of 50 (LKH),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,5946.821061122804,15645,15645,228.20000000000124,52.412060301507644,298.0,298.4999999999994,170.57323455810547
2,PSO,2 Instances of 50 (PSO),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,5821.627291835821,14447,14447,220.29999999999995,49.39145299145333,292.0,292.499999999998,14995.506763458252
3,LKH,4 Instances of 50 (LKH),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,11979.366511705006,31581,31581,384.02500000006194,52.52994011975453,601.0,601.2000000000681,382.86542892456055
4,PSO,4 Instances of 50 (PSO),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,12130.229922077653,29809,29809,388.9250000000633,48.955493512886484,608.0,608.9000000000699,29723.267793655396
5,LKH,6 Instances of 50 (LKH),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,18474.353927589127,48663,48663,557.0500000001098,52.47250377398375,927.0,927.4000000001423,585.7212543487549
6,PSO,6 Instances of 50 (PSO),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,18146.987357543043,44408,44408,540.8833333334395,48.73573309920242,911.0,911.2000000001386,44109.883069992065
7,LKH,8 Instances of 50 (LKH),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,24534.110755101035,63707,63707,705.9999999999173,51.70603035468006,1232.0,1232.099999999975,802.0226955413818
8,PSO,8 Instances of 50 (PSO),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,23958.678082099083,60140,60140,676.2749999999418,49.96676636756394,1203.0,1203.6000000000008,59170.15361785889
9,LKH,10 Instances of 50 (LKH),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,30532.41739625101,80623,80623,853.3799999996716,52.58821994652385,1533.0,1533.0999999997011,951.5371322631836
10,PSO,10 Instances of 50 (PSO),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,29820.647079702692,75748,75748,822.899999999698,50.57959401710302,1497.0,1497.5999999997334,78588.97662162781
11,LKH,2 Instances of 100 (LKH),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,2,100,1,4126.0347060665035,19805,19805,169.09999999999255,90.51645338208746,218.0,218.79999999999185,74538.58995437622
12,PSO,2 Instances of 100 (PSO),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,2,100,1,3270.702936203115,18534,18534,127.29999999999492,104.77105709440703,176.0,176.89999999999424,26348.409175872803
13,LKH,4 Instances of 100 (LKH),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,4,100,1,8270.98975283977,42456,42456,285.650000000033,96.57870791628062,439.0,439.60000000003146,138525.1145362854
14,PSO,4 Instances of 100 (PSO),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,4,100,1,7007.358477844109,36746,36746,237.77500000002138,97.28885358749883,377.0,377.7000000000174,52668.26558113098
15,LKH,6 Instances of 100 (LKH),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,6,100,1,12226.552916055092,56995,56995,389.5000000000672,87.50959619222023,651.0,651.3000000000795,159466.2308692932
16,PSO,6 Instances of 100 (PSO),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,6,100,1,9219.627740042262,49106,49106,294.6333333333769,97.76229345012051,502.0,502.3000000000457,78973.66428375244
17,LKH,8 Instances of 100 (LKH),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,8,100,1,16117.983075437449,77874,77874,487.3875000000948,90.79398391044481,857.0,857.7000000001265,181968.4989452362
18,PSO,8 Instances of 100 (PSO),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,8,100,1,12353.369695347244,64604,64604,383.3750000000696,96.1512129781097,671.0,671.9000000000842,104554.96048927307
19,LKH,10 Instances of 100 (LKH),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,10,100,1,19745.211344742373,98146,98146,578.3700000000864,93.26807944501292,1052.0,1052.3000000001384,240900.05016326904
20,PSO,10 Instances of 100 (PSO),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,10,100,1,14925.975311599525,80147,80147,445.59000000008723,98.4485935388632,814.0,814.1000000001166,140074.9819278717
21,LKH,2 Instances of 150 (LKH),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,4097.318920743932,35128,35128,174.8499999999922,155.22757401679775,226.0,226.29999999999143,105412.22977638245
22,PSO,2 Instances of 150 (PSO),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,2998.724097536959,28747,28747,130.39999999999475,167.1337209302379,171.0,171.99999999999451,40419.07525062561
