Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
1,CRL-AM,2 Instances of 50 (CRL-AM),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,6508.74612221855,15554,15554,240.9000000000085,47.60942760942677,326,326.7000000000058,407.1006774902344
2,CRL-HA,2 Instances of 50 (CRL-HA),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,6482.287285203846,16435,16435,245.00000000000796,50.47604422604337,325,325.60000000000554,107.82146453857422
3,CRL-U,2 Instances of 50 (CRL-U),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,2,50,1,7083.570475818089,16793,16793,266.35000000001526,47.23769338959048,355,355.50000000001234,110.61286926269531
4,CRL-AM,4 Instances of 50 (CRL-AM),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,13189.222583873667,30908,30908,414.90000000007115,46.68177012535293,662,662.100000000082,256.1807632446289
5,CRL-HA,4 Instances of 50 (CRL-HA),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,12865.461456446485,31762,31762,408.90000000006904,49.15957282153869,646,646.1000000000784,270.1375484466553
6,CRL-U,4 Instances of 50 (CRL-U),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,4,50,1,13800.335522345058,33085,33085,434.00000000007594,47.769275194911565,692,692.6000000000889,293.11275482177734
7,CRL-AM,6 Instances of 50 (CRL-AM),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,19495.520752522392,45210,45210,569.8000000001141,46.1939307244231,978,978.700000000154,413.5286808013916
8,CRL-HA,6 Instances of 50 (CRL-HA),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,19107.09529001679,47039,47039,563.1833333334454,49.05005213763573,959,959.0000000001495,419.4989204406738
9,CRL-U,6 Instances of 50 (CRL-U),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,6,50,1,20087.94149760306,47563,47563,581.250000000117,47.166798889322116,1008,1008.4000000001607,385.8029842376709
10,CRL-AM,8 Instances of 50 (CRL-AM),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,25458.749207019697,60305,60305,709.2999999998754,47.16486782418519,1278,1278.5999999999326,536.3848209381104
11,CRL-HA,8 Instances of 50 (CRL-HA),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,25301.818443076492,62187,62187,715.7749999998827,48.93916738805615,1270,1270.6999999999398,560.9798431396484
12,CRL-U,8 Instances of 50 (CRL-U),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,8,50,1,27065.17866143418,63682,63682,765.9874999998033,46.85945548197688,1358,1358.9999999998595,555.0858974456787
13,CRL-AM,10 Instances of 50 (CRL-AM),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,31939.981339459955,75810,75810,876.7899999996191,47.280778346025414,1603,1603.3999999996372,719.1460132598877
14,CRL-HA,10 Instances of 50 (CRL-HA),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,31558.940454545973,78274,78274,873.3899999996327,49.396693171789146,1584,1584.5999999996543,690.333366394043
15,CRL-U,10 Instances of 50 (CRL-U),data/tsp/tsp50_val_mg_seed2222_size10K.pkl,10,50,1,33566.38344763902,80415,80415,924.9799999995588,47.732533982323766,1684,1684.6999999995633,691.7181015014648
