Run ID,Algorithm,Scenario,Num Devices,Instance ID,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (s),Avg Throughput (pkt/s),Energy Consumed (J),Mission Duration (s)
1,CRL-AM,agriculture,49,1,1,3388.1371551933134,12328,3345,134.50276532139742,13.20620632477053,136.0,253.2899999999146
2,CRL-AM,agriculture,49,10,1,3403.613248031719,12377,3466,133.8697691864037,13.633860435847595,137.0,254.21999999991377
3,CRL-AM,agriculture,49,2,1,3485.3052194548636,12620,3338,138.2435350509474,12.882062364931954,140.0,259.11999999990934
4,CRL-AM,agriculture,49,3,1,3372.4137333382905,12280,3440,132.80895348839488,13.631860511199335,136.0,252.34999999991547
5,CRL-AM,agriculture,49,4,1,3386.3226350538757,12328,3353,134.59460184911265,13.24354214393368,136.0,253.1799999999147
6,CRL-AM,agriculture,49,5,1,3492.719101259054,12620,3574,137.16611639621325,13.768925530690195,140.0,259.56999999990893
7,CRL-AM,agriculture,49,6,1,3490.1513309139336,12620,3440,137.31145348839064,13.260861185001371,140.0,259.4099999999091
8,CRL-AM,agriculture,49,7,1,3481.4817587873968,12572,3572,136.88939529677143,13.797365676546981,140.0,258.88999999990955
9,CRL-AM,agriculture,49,8,1,3460.165474458605,12523,3507,137.37963786714258,13.613601956450509,139.0,257.6099999999107
10,CRL-AM,agriculture,49,9,1,3361.088406056018,12231,3328,133.6465264423309,13.223665911714187,135.0,251.6699999999161
11,CRL-AM,custom_hybrid,49,1,1,2511.2847521425256,9349,2782,90.39810208484523,13.862866254736497,101.0,200.67999999996246
12,CRL-AM,custom_hybrid,49,10,1,2757.781198110276,10479,2921,104.2499760356234,13.556411565418347,111.0,215.469999999949
13,CRL-AM,custom_hybrid,49,2,1,2279.379928316212,8878,1631,87.94626609443003,8.732665845693727,92.0,186.7699999999751
14,CRL-AM,custom_hybrid,49,3,1,2292.996547170534,9116,2655,85.77540489643157,14.153960976651897,92.0,187.57999999997438
15,CRL-AM,custom_hybrid,49,4,1,2286.232026518799,9212,2198,89.17171974523247,11.742707554227463,92.0,187.17999999997474
16,CRL-AM,custom_hybrid,49,5,1,2067.570371834624,8575,2400,79.40625000000502,13.78834884522684,83.0,174.05999999998667
17,CRL-AM,custom_hybrid,49,6,1,2606.576914039873,9633,2350,100.40340425533526,11.38565891473104,105.0,206.39999999995726
18,CRL-AM,custom_hybrid,49,7,1,2572.1356288577676,9641,3561,96.54379949453943,17.42769050066418,104.0,204.32999999995914
19,CRL-AM,custom_hybrid,49,8,1,2646.1478862034205,10241,3002,99.9170686209362,14.379460650479693,106.0,208.7699999999551
20,CRL-AM,custom_hybrid,49,9,1,2523.6184170295624,9898,2864,95.16571229051712,14.21904478205016,101.0,201.4199999999618
21,CRL-AM,factory,49,1,1,1589.1323269980862,7154,1375,61.51509090908693,9.459924320604603,64.0,145.35000000001278
22,CRL-AM,factory,49,10,1,1880.4471970472227,7987,1684,72.56313539192519,10.342074556285894,76.0,162.8299999999969
23,CRL-AM,factory,49,2,1,2029.850501270263,8428,2462,77.95614947197824,14.330616996508507,82.0,171.79999999998873
24,CRL-AM,factory,49,3,1,2585.312492279717,10094,3197,99.52274945262741,15.585998439940756,104.0,205.11999999995842
25,CRL-AM,factory,49,4,1,1755.0305082925838,7644,2044,65.47653620352123,13.160775223745741,71.0,155.31000000000373
26,CRL-AM,factory,49,5,1,1356.3432048843279,6468,1354,52.619483013291855,10.305198264706123,55.0,131.39000000002548
27,CRL-AM,factory,49,6,1,1745.2130472377264,7595,1811,67.22754279403497,11.705015511892128,71.0,154.72000000000426
